5	Shipping is fast	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Weight Watchers dream	s[n[n[(n/n)   n]] (s\\n)]
2	Packaging is misleading	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	This coffee is aweful	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Price is RIDICULOUS	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	I love these cookies	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
4	The Smell is Incredible	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Rawhide Dog Chews	s[n[n[(n/n)   n]] (s\\n)]
5	This stuff is addictive	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	I LOVE THIS SPICE	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
5	I love this dark chocolate	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	popchips are great	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	They changed the formula	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
5	it is the excellent	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	I prefer a different brand	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	These brownies are great	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	I LIKE THIS STUFF	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
4	It was a hit	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
5	Bigger is Better	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
4	I enjoy this soup	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	People are crazy	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Microwave Popcorn Bowls	s[n[n[(n/n)   n]] (s\\n)]
5	Tea Lovers Delight	s[n[n[(n/n)   n]] (s\\n)]
1	Cans all dented	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	A hair must have	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
3	Cheese is OK	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	flies be gone	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Coffe lovers delight	s[n[n[(n/n)   n]] (s\\n)]
5	My Baby 's Addicted	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I lost my plant	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
5	I love this coffee creamer	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	Yummy Ginger Snaps	s[n[n[(n/n)   n]] (s\\n)]
5	This is some good stuff	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
3	Description Is Wrong	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	I love this coconut oil	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	Amazing Grass Superfood	s[n[n[(n/n)   n]] (s\\n)]
2	Dented can review	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Every can is dented	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
3	They Have An Odd Texture	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	The olives were rancid	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	DESCRIPTION IS INCORRECT	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Everyone loves this gum	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
5	It does the job	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
