1	This thing kinda sucks	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I Recommend This Video	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	These dudes are good	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I had a deception	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	the song is over	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Jimmy Reed Rocks	s[n[n[(n/n)   n]] (s\\n)]
1	Hopeless is right	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I love this bottle	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	They send the wrong package	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	This is a Christmas gift	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	This book is terrific	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	you need this CD	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	I bought both CD 's	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Book Is Impossible	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This Live is Better	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I love these songs	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	Someone needs her own material	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	I liked both works	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	pictures are missing	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This is an awesome toy	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	looks are decieving	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	This WAS the best	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	Irritating is right	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I HATE THIS STUPID BOOK	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	This movie was weird	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I RECOMMEND THE OTHER VERSION	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Product fell apart	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	IT 'S A FUN TOY	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	It Did the Job	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	THEY HURT MY HEELS	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	The tapes are useless	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	THIS CD REALLY ROCKS	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This is a great microwave	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	An absolute MUST READ	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Touch sensor fails	s[n[n[(n/n)   n]] (s\\n)]
1	this was a strange book	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	The score is incredible	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
