1	this is an idiot cd	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	reviews are real	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	these are the greatest	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This is a good book	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	I love this game	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Spirit Bear Rules	s[n[n[(n/n)   n]] (s\\n)]
1	Fox is pathetic	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Richard Peck Rocks	s[n[n[(n/n)   n]] (s\\n)]
1	This Book Is Horrid	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I hate this cable	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	VISTA Support updated	s[n[n[(n/n)   n]] (s\\n)]
1	No CD 's included	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	it does its job	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	This DVD is Misnamed	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Zero value add	s[n[n[(n/n)   n]] (s\\n)]
2	some features are lacking	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	They were his fans	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	He knows his business	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	THis is a repeat order	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	I love this yoga mat	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Tips are flimsy	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Heat is Hot	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I love the truth	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Every track is great	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	We liked this movie	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	item fell apart	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Product arrived defective	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	The Secret 's Out	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	The Bore is back	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	These pillows literally stink	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	The Killers are Dead	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	this guy is nuts	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Thermometer Probe Covers	s[n[n[(n/n)   n]] (s\\n)]
1	THIS STUFF IS HORRIBLE	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Casio is Incompetent	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Alaska Women Write	s[n[n[(n/n)   n]] (s\\n)]
2	IT 'S A BLAST	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Her voice is fearless	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	lara fabian rocks	s[n[n[(n/n)   n]] (s\\n)]
1	It 's a Fake	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	This is no dragon book	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	These things keep failing	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Piano sounds horrible	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Light Summer Read	s[n[n[(n/n)   n]] (s\\n)]
1	i hate this toy	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	we love the adaptor	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	2 was enough	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	espn is better	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Storyline was weak	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	YOU ARE MY SUNSHINE	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	It 's A Breeze	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
