5	French Twists treats	s[n[n[(n/n)   n]] (s\\n)]
5	IT 's the BEST	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
5	lemon balm leaves	s[n[n[(n/n)   n]] (s\\n)]
5	Cadet Bully Sticks	s[n[n[(n/n)   n]] (s\\n)]
1	This BBQ is baaad	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Dog Teeth Chews	s[n[n[(n/n)   n]] (s\\n)]
5	I love these granola bars	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	Water is Cheaper	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	This is my fifth order	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	check-ups are amazing	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	This Tea is Lovely	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	I love these Kcups	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	Product Seemed Old	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Sardines were Excellent	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I hate this new packaging	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	They 're the best	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
5	Every dog is different	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	this is a good noodle	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	The Price Is Right	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Red Bull Rocks	s[n[n[(n/n)   n]] (s\\n)]
5	This Tahini is Awesome	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
4	The quality is ok	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
4	one was moldy	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
3	Results may vary	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
4	Special wt lose	s[n[n[(n/n)   n]] (s\\n)]
5	Hextra Dog Chews	s[n[n[(n/n)   n]] (s\\n)]
5	I love these Dutch Mints	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	Great Kids Snack	s[n[n[(n/n)   n]] (s\\n)]
5	This is a Superfood	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	It triggers my migraines	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	Chip Twists Scare	s[n[n[(n/n)   n]] (s\\n)]
5	Licorice Cough Drops	s[n[n[(n/n)   n]] (s\\n)]
3	dog teeth care	s[n[n[(n/n)   n]] (s\\n)]
5	I tried my luck	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	Some things do change	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
3	5 Gum React2	s[n[n[(n/n)   n]] (s\\n)]
5	I looove the flooops	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
5	Spam Singles Great	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	It 's No Appletini	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
5	I missed my BB Kix	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	My dogs are deeelighted	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Izze is Awesome	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	I love this Coconut Oil	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	This is a must try	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	Change is good	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	IT 'S OUR FAVORITE	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
5	McCormicks Is Great	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Bread Makers Yeast	s[n[n[(n/n)   n]] (s\\n)]
5	Necco Waffers Delight	s[n[n[(n/n)   n]] (s\\n)]
3	Quality is variable	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	My fingers are thankful	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	authentic Dutch drop	s[n[n[(n/n)   n]] (s\\n)]
3	instructions were wrong	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	This is the BEST LICORICE	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	DIABETISWEET IS SWEET	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Decaf Lovers Rejoice	s[n[n[(n/n)   n]] (s\\n)]
5	A hair must have	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
3	It was a good try	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	I love this coffee maker	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	The ingredients have changed	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Feeder is unsafe	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Lemon newton thins	s[n[n[(n/n)   n]] (s\\n)]
1	DESCRIPTION IS INCORRECT	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	Strong Chewers Delight	s[n[n[(n/n)   n]] (s\\n)]
5	Big Bobs Rocks	s[n[n[(n/n)   n]] (s\\n)]
1	Shipping Method Disappointed	s[n[n[(n/n)   n]] (s\\n)]
5	Great Nathan Treats	s[n[n[(n/n)   n]] (s\\n)]
5	It Helped the Spider	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
5	Beer Can Wabbit	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
5	I 'm A Nut Job	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
5	DisposaKups are Fantastic	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
